"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"1576","PUBLIC SCHOOL DISTRICT","OSCEOLA SCHOOL DIST",14,NA,NA,37,2021-09-16
"1577","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",14,20,55,85,2021-09-16
"1578","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",13,11,71,89,2021-09-16
"1579","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",13,11,54,78,2021-09-16
"1580","PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",13,8,68,86,2021-09-16
"1581","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",13,10,36,54,2021-09-16
"1582","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",13,16,86,113,2021-09-16
"1583","PUBLIC SCHOOL DISTRICT","PALESTINE",13,0,16,22,2021-09-16
"1584","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",13,6,41,55,2021-09-16
"1585","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",12,13,45,70,2021-09-16
"1586","PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",12,8,55,83,2021-09-16
"1587","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",12,9,32,54,2021-09-16
"1588","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",12,NA,NA,52,2021-09-16
"1589","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",12,NA,NA,74,2021-09-16
"1590","PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",12,7,33,52,2021-09-16
"1591","PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",11,11,54,75,2021-09-16
"1592","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",11,9,53,74,2021-09-16
"1593","PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",11,5,47,58,2021-09-16
"1594","PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",11,5,20,30,2021-09-16
"1595","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",11,7,26,38,2021-09-16
"1596","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",11,NA,NA,48,2021-09-16
"1597","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",10,NA,NA,30,2021-09-16
"1598","PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",10,9,59,83,2021-09-16
"1599","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,9,27,39,2021-09-16
"1600","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",10,8,52,69,2021-09-16
"1601","PUBLIC SCHOOL DISTRICT","HELENA/WEST HELENA SCHOOL DIST",10,NA,NA,30,2021-09-16
"1602","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",10,7,24,37,2021-09-16
"1603","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",10,5,75,89,2021-09-16
"1604","PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",10,NA,NA,26,2021-09-16
"1605","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",10,NA,NA,31,2021-09-16
"1606","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",10,NA,NA,25,2021-09-16
"1607","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",10,NA,NA,36,2021-09-16
"1608","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",10,5,30,42,2021-09-16
"1609","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",9,10,43,60,2021-09-16
"1610","PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",9,NA,NA,31,2021-09-16
"1611","PUBLIC SCHOOL DISTRICT","MAMMOTH SPRING SCHOOL DIST",9,NA,NA,17,2021-09-16
"1612","PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",9,6,36,55,2021-09-16
"1613","PUBLIC SCHOOL DISTRICT","MT. VERNON/ENOLA SCHOOL DIST",9,5,21,27,2021-09-16
"1614","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",9,NA,NA,31,2021-09-16
"1615","PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",9,5,33,40,2021-09-16
"1616","PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",9,5,27,34,2021-09-16
"1617","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",8,0,35,41,2021-09-16
"1618","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",8,NA,NA,38,2021-09-16
"1619","PUBLIC SCHOOL DISTRICT","CONCORD SCHOOL DIST",8,0,15,19,2021-09-16
"1620","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",8,NA,NA,41,2021-09-16
"1621","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",8,NA,NA,31,2021-09-16
"1622","PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",8,NA,NA,31,2021-09-16
"1623","PUBLIC SCHOOL DISTRICT","HECTOR SCHOOL DIST",8,5,22,28,2021-09-16
"1624","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",8,NA,NA,34,2021-09-16
"1625","PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",8,8,24,34,2021-09-16
"1626","PUBLIC SCHOOL DISTRICT","SMACKOVER",8,NA,NA,28,2021-09-16
"1627","PUBLIC SCHOOL DISTRICT","WESTSIDE SCHOOL DIST (JOHNSON)",8,NA,NA,24,2021-09-16
"1628","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",7,NA,NA,49,2021-09-16
"1629","PUBLIC SCHOOL DISTRICT","ALPENA SCHOOL DIST",7,NA,NA,19,2021-09-16
"1630","PUBLIC SCHOOL DISTRICT","ARMOREL SCHOOL DIST",7,NA,NA,20,2021-09-16
"1631","PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",7,8,34,53,2021-09-16
"1632","PUBLIC SCHOOL DISTRICT","EAST POINSETT CO. SCHOOL DIST",7,6,30,38,2021-09-16
"1633","PUBLIC SCHOOL DISTRICT","EMERSON",7,5,31,40,2021-09-16
"1634","PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",7,7,30,41,2021-09-16
"1635","PUBLIC SCHOOL DISTRICT","GURDON SCHOOL DIST",7,NA,NA,32,2021-09-16
"1636","PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",7,5,25,36,2021-09-16
"1637","PUBLIC SCHOOL DISTRICT","MAGNET COVE SCHOOL DIST",7,NA,NA,29,2021-09-16
"1638","PUBLIC SCHOOL DISTRICT","PARIS SCHOOL DIST",7,NA,NA,31,2021-09-16
"1639","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",7,NA,NA,17,2021-09-16
"1640","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",6,6,29,41,2021-09-16
"1641","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",6,5,17,26,2021-09-16
"1642","PUBLIC SCHOOL DISTRICT","EAST END SCHOOL DIST",6,0,10,11,2021-09-16
"1643","PUBLIC SCHOOL DISTRICT","GLEN ROSE SCHOOL DIST",6,9,59,86,2021-09-16
"1644","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",6,NA,NA,29,2021-09-16
"1645","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",6,7,33,49,2021-09-16
"1646","PUBLIC SCHOOL DISTRICT","JASPER SCHOOL DIST",6,8,20,30,2021-09-16
"1647","PUBLIC SCHOOL DISTRICT","JUNCTION CITY SCHOOL DIST",6,6,23,29,2021-09-16
"1648","PUBLIC SCHOOL DISTRICT","LAFAYETTE COUNTY SCHOOL DIST",6,7,15,25,2021-09-16
"1649","PUBLIC SCHOOL DISTRICT","LEE COUNTY SCHOOL DIST",6,NA,NA,14,2021-09-16
"1650","PUBLIC SCHOOL DISTRICT","MAYNARD SCHOOL DIST",6,0,11,14,2021-09-16
"1651","PUBLIC SCHOOL DISTRICT","MULBERRY/PLEASANT VIEW BI",6,NA,NA,20,2021-09-16
"1652","PUBLIC SCHOOL DISTRICT","NEMO VISTA SCHOOL DIST",6,NA,NA,15,2021-09-16
"1653","PUBLIC SCHOOL DISTRICT","OUACHITA SCHOOL DIST",6,NA,NA,24,2021-09-16
"1654","PUBLIC SCHOOL DISTRICT","SOUTH SIDE SCHOOL DIST(VANBUREN)",6,0,10,14,2021-09-16
"1655","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",6,8,33,51,2021-09-16
"1656","PUBLIC SCHOOL DISTRICT","BRADFORD SCHOOL DIST",5,NA,NA,17,2021-09-16
"1657","PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",5,NA,NA,14,2021-09-16
"1658","PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",5,NA,NA,39,2021-09-16
"1659","PUBLIC SCHOOL DISTRICT","HERMITAGE SCHOOL DIST",5,NA,NA,24,2021-09-16
"1660","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",5,5,28,38,2021-09-16
"1661","PUBLIC SCHOOL DISTRICT","MELBOURNE SCHOOL DIST",5,NA,NA,10,2021-09-16
"1662","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",5,7,21,31,2021-09-16
"1663","PUBLIC SCHOOL DISTRICT","SEARCY COUNTY SCHOOL DIST",5,NA,NA,38,2021-09-16
"1664","PRIVATE SCHOOL","LIFE WAY CHRISTIAN SCHOOL, CENTERTON",7,NA,NA,19,2021-09-16
"1665","PRIVATE SCHOOL","ST. VINCENT DE PAUL CATHOLIC, ROGERS",7,5,7,13,2021-09-16
"1666","PRIVATE SCHOOL","CHRIST THE KING SCHOOL, FORT SMITH",6,NA,NA,11,2021-09-16
"1667","PRIVATE SCHOOL","HARDING ACADEMY, SEARCY",6,NA,NA,17,2021-09-16
"1668","PRIVATE SCHOOL","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",6,NA,NA,30,2021-09-16
"1669","PRIVATE SCHOOL","EPISCOPAL COLLEGIATE SCHOOL, LITTLE ROCK",5,NA,NA,10,2021-09-16
"1670","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",135,57,262,547,2021-09-16
"1671","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",77,7,56,149,2021-09-16
"1672","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",30,9,50,92,2021-09-16
"1673","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",26,24,12,119,2021-09-16
"1674","COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",20,5,32,72,2021-09-16
"1675","COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",17,11,39,51,2021-09-16
"1676","COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",16,6,45,72,2021-09-16
"1677","COLLEGE/UNIVERSITY","U OF A, MONTICELLO",16,NA,NA,44,2021-09-16
"1678","COLLEGE/UNIVERSITY","U OF A, LITTLE ROCK",16,9,28,62,2021-09-16
"1679","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",15,21,77,165,2021-09-16
"1680","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",13,8,35,77,2021-09-16
"1681","COLLEGE/UNIVERSITY","U OF A, PINE BLUFF",13,10,65,102,2021-09-16
"1682","COLLEGE/UNIVERSITY","OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",9,NA,NA,71,2021-09-16
"1683","COLLEGE/UNIVERSITY","SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",9,NA,NA,27,2021-09-16
"1684","COLLEGE/UNIVERSITY","ASU - NEWPORT, JONESBORO",7,NA,NA,29,2021-09-16
"1685","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",7,11,12,34,2021-09-16
"1686","COLLEGE/UNIVERSITY","ASU, NEWPORT",6,NA,NA,17,2021-09-16
"1687","COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",6,NA,NA,39,2021-09-16
"1688","COLLEGE/UNIVERSITY","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",6,NA,NA,35,2021-09-16
"1689","COLLEGE/UNIVERSITY","ASU, MOUNTAIN HOME",5,NA,NA,12,2021-09-16
"1690","COLLEGE/UNIVERSITY","EAST ARKANSAS COMMUNITY COLLEGE, FORREST CITY",5,0,6,9,2021-09-16
"1691","COLLEGE/UNIVERSITY","PHILANDER SMITH COLLEGE, LITTLE ROCK",5,NA,NA,14,2021-09-16
"1692","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",101,27,311,454,2021-09-13
"1693","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",95,65,280,417,2021-09-13
"1694","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",76,69,368,541,2021-09-13
"1695","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",75,22,187,269,2021-09-13
"1696","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",75,48,250,373,2021-09-13
"1697","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",59,17,122,158,2021-09-13
"1698","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",57,24,217,287,2021-09-13
"1699","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",56,47,285,389,2021-09-13
"1700","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",55,18,183,229,2021-09-13
"1701","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",51,17,167,235,2021-09-13
"1702","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",49,22,123,168,2021-09-13
"1703","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",47,19,92,127,2021-09-13
"1704","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",47,22,113,160,2021-09-13
"1705","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",47,23,139,201,2021-09-13
"1706","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",45,12,134,193,2021-09-13
"1707","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",43,14,112,166,2021-09-13
"1708","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",40,8,65,92,2021-09-13
"1709","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",39,7,69,93,2021-09-13
"1710","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",38,19,92,136,2021-09-13
"1711","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",38,9,77,109,2021-09-13
"1712","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",36,5,114,148,2021-09-13
"1713","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",36,13,86,109,2021-09-13
"1714","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",35,17,126,164,2021-09-13
"1715","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",33,9,46,67,2021-09-13
"1716","PUBLIC SCHOOL DISTRICT","GREENWOOD SCHOOL DIST",32,12,60,96,2021-09-13
"1717","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",31,12,89,124,2021-09-13
"1718","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",31,21,95,142,2021-09-13
"1719","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",31,12,63,86,2021-09-13
"1720","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",30,7,57,80,2021-09-13
"1721","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",28,17,61,91,2021-09-13
"1722","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",28,16,87,122,2021-09-13
"1723","PUBLIC SCHOOL DISTRICT","LAWRENCE COUNTY SCHOOL DIST",27,14,58,87,2021-09-13
"1724","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",27,24,166,252,2021-09-13
"1725","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",27,12,72,96,2021-09-13
"1726","PUBLIC SCHOOL DISTRICT","BARTON",26,5,60,78,2021-09-13
"1727","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",26,13,59,91,2021-09-13
"1728","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",26,5,60,79,2021-09-13
"1729","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",25,NA,NA,61,2021-09-13
"1730","PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",24,5,41,52,2021-09-13
"1731","PUBLIC SCHOOL DISTRICT","CEDARVILLE SCHOOL DIST",23,7,38,53,2021-09-13
"1732","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",23,20,125,146,2021-09-13
"1733","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",23,10,59,88,2021-09-13
"1734","PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",22,NA,NA,75,2021-09-13
"1735","PUBLIC SCHOOL DISTRICT","FOUNTAIN LAKE SCHOOL DIST",22,10,34,51,2021-09-13
"1736","PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",22,NA,NA,43,2021-09-13
"1737","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",22,6,56,67,2021-09-13
"1738","PUBLIC SCHOOL DISTRICT","BISMARCK SCHOOL DIST",21,NA,NA,38,2021-09-13
"1739","PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",20,6,43,53,2021-09-13
"1740","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",20,7,51,64,2021-09-13
"1741","PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",20,NA,NA,39,2021-09-13
"1742","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",20,8,68,87,2021-09-13
"1743","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",20,14,128,156,2021-09-13
"1744","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",19,6,58,91,2021-09-13
"1745","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",19,NA,NA,88,2021-09-13
"1746","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",19,6,41,52,2021-09-13
"1747","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",19,NA,NA,41,2021-09-13
"1748","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",19,5,26,35,2021-09-13
"1749","PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",18,8,53,81,2021-09-13
"1750","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",18,NA,NA,71,2021-09-13
"1751","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",18,8,59,81,2021-09-13
"1752","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",18,11,52,80,2021-09-13
"1753","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",18,10,36,54,2021-09-13
"1754","PUBLIC SCHOOL DISTRICT","NEVADA SCHOOL DIST",18,NA,NA,43,2021-09-13
"1755","PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",18,7,35,47,2021-09-13
"1756","PUBLIC SCHOOL DISTRICT","POTTSVILLE SCHOOL DIST",18,7,47,57,2021-09-13
"1757","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",17,5,49,61,2021-09-13
"1758","PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",17,8,52,76,2021-09-13
"1759","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",17,13,87,110,2021-09-13
"1760","PUBLIC SCHOOL DISTRICT","MAGAZINE SCHOOL DIST",17,9,44,62,2021-09-13
"1761","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",17,14,77,113,2021-09-13
"1762","PUBLIC SCHOOL DISTRICT","OSCEOLA SCHOOL DIST",17,NA,NA,35,2021-09-13
"1763","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",16,NA,NA,41,2021-09-13
"1764","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",16,8,64,94,2021-09-13
"1765","PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",16,8,64,81,2021-09-13
"1766","PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",16,NA,NA,51,2021-09-13
"1767","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",16,10,51,81,2021-09-13
"1768","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",16,20,51,81,2021-09-13
"1769","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",15,5,66,88,2021-09-13
"1770","PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",15,6,40,49,2021-09-13
"1771","PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",15,NA,NA,40,2021-09-13
"1772","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",15,NA,NA,41,2021-09-13
"1773","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",14,NA,NA,43,2021-09-13
"1774","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",14,6,23,41,2021-09-13
"1775","PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",14,6,33,52,2021-09-13
"1776","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",14,15,64,91,2021-09-13
"1777","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",14,0,65,67,2021-09-13
"1778","PUBLIC SCHOOL DISTRICT","PALESTINE",14,0,15,20,2021-09-13
"1779","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",13,0,30,37,2021-09-13
"1780","PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",13,8,32,50,2021-09-13
"1781","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",13,10,38,55,2021-09-13
"1782","PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",13,11,51,72,2021-09-13
"1783","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",13,15,64,83,2021-09-13
"1784","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",13,6,48,63,2021-09-13
"1785","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",13,9,52,73,2021-09-13
"1786","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",13,9,48,60,2021-09-13
"1787","PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",13,NA,NA,44,2021-09-13
"1788","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",13,NA,NA,33,2021-09-13
"1789","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",12,NA,NA,29,2021-09-13
"1790","PUBLIC SCHOOL DISTRICT","JASPER SCHOOL DIST",12,8,20,30,2021-09-13
"1791","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",12,5,73,87,2021-09-13
"1792","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",12,6,25,36,2021-09-13
"1793","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",12,NA,NA,36,2021-09-13
"1794","PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",12,5,41,49,2021-09-13
"1795","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",11,11,64,81,2021-09-13
"1796","PUBLIC SCHOOL DISTRICT","CONCORD SCHOOL DIST",11,0,12,17,2021-09-13
"1797","PUBLIC SCHOOL DISTRICT","HOPE SCHOOL DIST",11,6,18,30,2021-09-13
"1798","PUBLIC SCHOOL DISTRICT","HOT SPRINGS SCHOOL DIST",11,7,43,50,2021-09-13
"1799","PUBLIC SCHOOL DISTRICT","LINCOLN SCHOOL DIST",11,6,35,45,2021-09-13
"1800","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",11,15,81,107,2021-09-13
"1801","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",11,NA,NA,27,2021-09-13
"1802","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",11,6,36,48,2021-09-13
"1803","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",10,5,17,26,2021-09-13
"1804","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",10,12,44,67,2021-09-13
"1805","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,9,24,35,2021-09-13
"1806","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",10,8,49,69,2021-09-13
"1807","PUBLIC SCHOOL DISTRICT","LAFAYETTE COUNTY SCHOOL DIST",10,7,15,25,2021-09-13
"1808","PUBLIC SCHOOL DISTRICT","MAMMOTH SPRING SCHOOL DIST",10,NA,NA,15,2021-09-13
"1809","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",10,NA,NA,45,2021-09-13
"1810","PUBLIC SCHOOL DISTRICT","MULBERRY/PLEASANT VIEW BI",10,NA,NA,17,2021-09-13
"1811","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",10,7,21,31,2021-09-13
"1812","PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",10,5,27,34,2021-09-13
"1813","PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",10,7,30,48,2021-09-13
"1814","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",9,NA,NA,37,2021-09-13
"1815","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",9,9,26,41,2021-09-13
"1816","PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",9,NA,NA,28,2021-09-13
"1817","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",9,NA,NA,28,2021-09-13
"1818","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",9,7,32,47,2021-09-13
"1819","PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",9,8,23,33,2021-09-13
"1820","PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",9,5,17,27,2021-09-13
"1821","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",9,NA,NA,31,2021-09-13
